"","time","X18.03","X28.03","X32","X40","X44.06","X45.06","TP","N2.Ar","O2.Ar","N2.O2","O2..uM.","O2.Sat....","Temp..C.","Calphase..C.","TCphase..C.","C1..C.","C2..C.","inlet","sock","outlet","MS","flow"
"25469",2017-06-14 09:08:00,4.41644396551724e-09,2.90015086206897e-07,7.33661637931035e-08,2.79200431034483e-09,1.45433189655172e-10,2.08441810344828e-12,4.85053879310345e-06,103.878818369397,26.2773671276293,3.95316635568966,364.146543103448,111.339745689655,13.2341982758621,28.0336056034483,29.2248448275862,33.6448836206897,4.4199375,12.5796677820474,12.6814686354095,12.6567998432759,46.1402022925862,99.9797371296336
"25933",2017-06-14 09:18:00,4.40782795698925e-09,2.89989247311828e-07,7.33012903225806e-08,2.79167741935484e-09,1.45445161290323e-10,2.06509677419355e-12,4.84754838709677e-06,103.885405343226,26.2579933396774,3.95633456390753,363.50327311828,111.132664516129,13.2299333333333,28.0549419354839,29.2440451612903,33.6623462365591,4.4184,12.5758052051398,12.676238029957,12.652497453871,45.9581550194839,100.061343309591
"263981",2017-06-14 09:28:00,4.40111827956989e-09,2.89638709677419e-07,7.30793548387097e-08,2.78802150537634e-09,1.45520430107527e-10,2.07524731182796e-12,4.83967741935484e-06,103.893851765161,26.2129886241935,3.96345001311398,362.676929032258,110.851834408602,13.2185440860215,28.085088172043,29.2710215053763,33.6902860215054,4.4192688172043,12.5650672178495,12.6659983653763,12.6412590441075,45.8731764927957,99.989052575828
"268631",2017-06-14 09:38:00,4.4058064516129e-09,2.89230107526882e-07,7.2810752688172e-08,2.78352688172043e-09,1.45578494623656e-10,2.07186451612903e-12,4.82984946236559e-06,103.907042531183,26.1565328672903,3.97250852167312,361.976335483871,110.609397849462,13.2070344086022,28.1116494623656,29.2945440860215,33.7129247311828,4.41827956989247,12.5544286587312,12.6545341905591,12.6307960432688,45.9033335042581,100.047758816129
"273281",2017-06-14 09:48:00,4.40328293736501e-09,2.88974082073434e-07,7.26218142548596e-08,2.78030237580994e-09,1.45663066954644e-10,2.0760475161987e-12,4.82285097192225e-06,103.922021759395,26.1191276961771,3.97877148892009,360.947911447084,110.272734341253,13.1979892008639,28.147120950324,29.326313174946,33.7441727861771,4.41780777537797,12.5458735888985,12.6456076048812,12.6216455715335,46.0644303195896,99.975292811987
"27792",2017-06-14 09:58:00,4.40010752688172e-09,2.88679569892473e-07,7.24135483870968e-08,2.77823655913978e-09,1.4578064516129e-10,2.06356989247312e-12,4.8185376344086e-06,103.910294334194,26.0651972983011,3.98655312323441,360.760511827957,110.204705376344,13.1934838709677,28.1548946236559,29.3332043010753,33.7515913978495,4.41834193548387,12.5415056131183,12.6403363633333,12.6172810222366,46.0563379436129,100.006896307785
"28257",2017-06-14 10:08:00,4.38539784946237e-09,2.87789247311828e-07,7.16987096774194e-08,2.76976344086022e-09,1.47176344086022e-10,2.07363440860215e-12,4.79972043010753e-06,103.899735287742,25.8861491076129,4.01377415622581,357.543079569892,109.108320430108,13.146776344086,28.275511827957,29.440623655914,33.8598258064516,4.41935053763441,12.4970302136559,12.5964459825806,12.572201833871,45.9598244291613,100.047250893656
"28722",2017-06-14 10:18:00,4.38604301075269e-09,2.87688172043011e-07,7.15286021505376e-08,2.76890322580645e-09,1.46658064516129e-10,2.07477419354839e-12,4.79466666666667e-06,103.902092543226,25.8338687365376,4.02193294010323,358.420905376344,109.439944086022,13.1730365591398,28.2361053763441,29.4056086021505,33.8237462365591,4.41818709677419,12.5222028184516,12.6200640937204,12.5986929292258,45.9512084308387,100.006921829656
"291872",2017-06-14 10:28:00,4.38974137931034e-09,2.88262931034483e-07,7.18290948275862e-08,2.77394396551724e-09,1.46096982758621e-10,2.06700431034483e-12,4.80480603448276e-06,103.913180642672,25.8946943048491,4.01291408887284,357.787204741379,109.242737068966,13.1714461206897,28.256525862069,29.4238685344828,33.8414590517241,4.41769181034483,12.5210481188147,12.6195469564224,12.5964495565086,45.9322256552802,99.9505745840733
"296522",2017-06-14 10:38:00,4.38293103448276e-09,2.88265086206897e-07,7.1729525862069e-08,2.77286637931034e-09,1.46362068965517e-10,2.07717672413793e-12,4.8079525862069e-06,103.953500198922,25.8674306231466,4.01870352568103,356.759734913793,108.897002155172,13.158349137931,28.2943038793103,29.4573857758621,33.8750280172414,4.41743965517241,12.5074469475,12.6080689272198,12.5835721250216,45.9198365710345,100.026192212435
